NR_PROCESSO,CD_SERVICO,CD_EVENTO,IN_APLICAVEL,CD_RESP_APLICACAO,CD_RESP_REALIZACAO,CD_RESP_INSPECAO,DT_APLICACAO,DT_REALIZACAO,DT_INSPECAO,CD_RESULT_INSPECAO,NR_RNC,DT_PREVISTA,DT_LIMITE,NR_ORDEM,TX_OBS,IN_BLOQUEADO,IN_ALERTA_ENVIADO,QT_DIAS_DESVIO,DT_REALIZACAO_EFETIVA,DT_ALERTA_ENVIADO,IN_EDI_ENVIADO,CD_EV_BASICO,PZ_DO_EV_BASICO,IN_INTEGRADO_CLIENTE
0201IA-000034-18  ,3  ,022,1,NULL,1224,1224,NULL,2018-03-21 00:00:00.000,2018-03-21 00:00:00.000,C,NULL,NULL,NULL,3," 02/03: Abertura de Registro - Marina            03/03: Sabado - MYINDAIA        04/03: Domingo - MYINDAIA       05/03: Pendencia(s) OK - Munik  05/03: Solicitado numerário de despesas - Departamento          10/03: Sabado - MYINDAIA        11/03: Domingo - MYINDAIA       12/03::agd dados do embarque .Roberta        21/03: Previsão de Chegada do Navio / Vôo / Caminhão - Roberta  13/03: Recebido numerário de despesas - Departamento            17/03: Sabado - MYINDAIA        18/03: Domingo - MYINDAIA       21/03: Chegada da Mercadoria no Local do Desembaraço / Acompanhando a Descarga - Roberta        21/03: DI registrada, agd desembaraço - Bruno   22/03: Doctos disponibilizados p/ a Transportadora - Rosinaldo  23/03: Entrega na Receita Federal - Departamento                22/03: Processo desembaraçado - Departamento    23/03: Processo enviado ao faturamento - Natalia                24/03: Sabado - MYINDAIA        25/03: Domingo - MYINDAIA       30/03: Paixao - MYINDAIA        31/03: Sabado - MYINDAIA        01/04: Domingo - Pascoa - MYINDAIA              02/04: Processo Faturado e enviado ao Pós-Faturamento - Departamento           ",0,0,NULL,2018-03-21 13:54:28.300,NULL,NULL,NULL,NULL,NULL
0101IM-005941-16  ,1  ,035,1,NULL,0707,NULL,NULL,2016-06-14 11:36:42.617,NULL,NULL,NULL,2016-06-13 00:00:00.000,NULL,34,NULL,0,0,NULL,2016-06-14 11:36:50.497,NULL,NULL,088,0,NULL
0102EM-009893-19  ,2  ,092,1,NULL,2864,NULL,NULL,2019-11-18 10:43:00.000,NULL,NULL,NULL,2019-11-26 00:00:00.000,NULL,94,NULL,0,0,NULL,2019-11-19 10:52:54.123,NULL,NULL,132,24,NULL
0102EM-000044-18  ,2  ,092,1,NULL,0707,NULL,NULL,2018-03-13 13:44:02.957,NULL,NULL,NULL,2018-03-10 00:00:00.000,NULL,97,NULL,0,0,NULL,2018-03-13 13:44:03.323,NULL,NULL,132,24,NULL
0102EM-007141-15  ,020,139,1,NULL,2360,NULL,NULL,2015-09-10 15:57:51.000,NULL,NULL,NULL,2015-09-14 23:00:00.000,NULL,39,NULL,0,0,NULL,2015-09-10 15:59:24.670,NULL,NULL,132,96,NULL
0101IM-002654-22  ,1  ,390,1,NULL,5763,NULL,NULL,2022-02-21 00:00:00.000,NULL,NULL,NULL,2022-02-21 00:00:00.000,NULL,21,,0,0,NULL,2022-02-21 13:30:48.077,NULL,NULL,161,-120,NULL
0102EM-014388-19  ,2  ,652,0,0715,NULL,NULL,2019-12-09 15:36:28.997,NULL,NULL,NULL,NULL,2019-12-18 10:17:00.000,NULL,40,NULL,0,0,NULL,NULL,NULL,NULL,088,NULL,NULL
0102EM-1617-13    ,710,088,1,NULL,2341,NULL,NULL,2013-03-26 17:16:16.210,NULL,NULL,NULL,2013-04-04 18:00:00.000,NULL,50,NULL,0,0,NULL,2013-03-26 17:16:16.210,NULL,NULL,271,0,NULL
0102EM-002697-24  ,2  ,634,1,NULL,3300,NULL,NULL,2024-04-04 15:34:03.000,NULL,NULL,NULL,2024-03-20 03:00:00.000,NULL,58,NULL,0,0,NULL,2024-04-04 15:34:36.000,NULL,NULL,261,3,NULL
0101IG-000059-14  ,129,161,1,NULL,1225,NULL,NULL,2014-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,22,NULL,0,0,NULL,2014-04-25 07:18:14.897,NULL,NULL,   ,NULL,NULL
0101IM-021364-19  ,1  ,551,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0101IM-6571-09    ,132,552,1,NULL,1966,NULL,NULL,2010-01-22 00:00:00.000,NULL,NULL,NULL,2010-01-15 00:00:00.000,NULL,35,NULL,0,0,NULL,NULL,NULL,NULL,041,24,NULL
0101IM-001779-23  ,1  ,215,1,NULL,5434,NULL,NULL,2023-02-08 14:46:59.000,NULL,NULL,NULL,2023-02-13 00:00:00.000,NULL,18,NULL,0,0,NULL,2023-02-08 14:47:44.763,NULL,NULL,161,-120,NULL
0102EM-8295-13    ,710,113,1,NULL,2258,NULL,NULL,2013-12-11 00:00:00.000,NULL,NULL,NULL,2013-12-05 00:00:00.000,NULL,4,,0,0,NULL,2013-12-12 10:21:38.930,NULL,NULL,506,-528,NULL
0701IM-1280-12    ,857,234,1,NULL,0707,NULL,NULL,2012-06-29 00:00:00.000,NULL,NULL,NULL,2012-06-29 00:00:00.000,NULL,29,NULL,0,1,NULL,2012-06-29 12:38:24.417,2012-06-29 13:07:43.910,NULL,021,0,NULL
0102EM-0203-07    ,420,524,0,NULL,1244,NULL,NULL,NULL,NULL,NULL,NULL,2007-02-16 00:00:00.000,NULL,28,NULL,0,0,NULL,NULL,NULL,NULL,314,24,NULL
